"follower","followee"
"Peralta","Serrano"
"Peralta","Avella"
"Peralta","Comrie"
"Peralta","Rivera"
"Peralta","Klein"
"Peralta","Kennedy"
"Peralta","Squadron"
"Peralta","Dilan"
"Peralta","Robach"
"Rivera","Parker"
"Rivera","Golden"
"Rivera","Serrano"
"Rivera","Avella"
"Rivera","Peralta"
"Rivera","Martins"
"Rivera","Latimer"
"Robach","Golden"
"Robach","Gallivan"
"Robach","Boyle"
"Serrano","Lanza"
"Serrano","Avella"
"Serrano","Comrie"
"Serrano","Stavisky"
"Serrano","Peralta"
"Serrano","Rivera"
"Serrano","Martins"
"Serrano","Gallivan"
"Serrano","Squadron"
"Serrano","Latimer"
"Serrano","Panepinto"
"Squadron","Parker"
"Squadron","Serrano"
"Squadron","Rivera"
"Squadron","Latimer"
"Stavisky","Comrie"
"Stavisky","Rivera"
