menu_comp,red_int,pf_select
25% (n=6),Yes (n=8),0.666666667
25% (n=6),No (n=10),0
50% (n=6),Yes (n=8),0.75
50% (n=6),No (n=10),0.25
75% (n=6),Yes (n=8),1
75% (n=6),No (n=10),0.5
